"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_3","MV4_11_6w_1","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Asparagine","Com_171_neg","Asparagine","C4 H8 N2 O3",132.05346,1.325,131.04618,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",162800146.3,177559319.9,181700668.7,566637493.5,374132836.8,140504993.8,28.2076241146296,27.3730803634271,0.834543751202506,0.296322817565504,0.43304217384462,"stable",1.01047026349666
"N-Acetyl-DL-glutamic acid","Com_76_neg","N-Acetyl-DL-glutamic acid","C7 H11 N O5",189.06364,2.288,188.05636,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",300125723.1,312890677.3,350877036.1,563288976.3,650543268.799999,617782590.6,29.1829645824521,28.2561551519306,0.92680943052147,0.000546337105168929,0.112249756649486,"up",1.73357617535648
"L-Glutathione oxidized","Com_8_neg","L-Glutathione oxidized","C20 H32 N6 O12 S2",612.15211,2.277,611.14484,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",13027816679,14348651583,14387339709,10131513090,11673168625,5625433189,33.0233082746326,33.695051063897,-0.671742789264471,0.17015184327039,0.352483795936037,"stable",1.26785753015529
"D-(-)-Glutamine","Com_402_neg","D-(-)-Glutamine","C5 H10 N2 O3",146.06916,1.333,145.06189,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",15683435.1,18053883.54,15674461.07,78947986.9000001,45904870.99,18598773.66,25.2784157389195,23.9701522075233,1.30826353139622,0.162932297754306,0.347675623731637,"stable",1.28986509337261
"Indole-3-lactic acid","Com_624_neg","Indole-3-lactic acid","C11 H11 N O3",205.07396,5.673,204.06668,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",12128375.06,13825966.53,17634066.74,11036633.07,11751990.08,58628591.85,24.2290998668144,23.7748739431353,0.4542259236791,0.625327095265564,0.56078626604881,"stable",0.480124996054617
"(R)-3-Hydroxy myristic acid","Com_1360_neg","(R)-3-Hydroxy myristic acid","C14 H28 O3",244.20367,8.445,243.1964,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",16375087.95,16109641.66,20174953.97,17614030.15,17158006.29,10079974.89,23.7891963345753,24.0574941444185,-0.268297809843286,0.421244762359219,0.490594771904556,"stable",0.758010761760337
"N-Acetyl-L-glutamine","Com_2714_neg","N-Acetyl-L-glutamine","C7 H12 N2 O4",188.07954,1.746,187.07223,"Full match","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamine and derivatives",10642457.67,11817036.79,13828490.24,31177390.78,27059392.96,20103932.11,24.6148657888494,23.519611104694,1.09525468415535,0.0123593128592809,0.221775734469616,"up",1.64284423986344
"UDP-N-acetylglucosamine","Com_44_neg","UDP-N-acetylglucosamine","C17 H27 N3 O17 P2",607.08231,1.762,606.07504,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",5910081322.00001,6277383616.00001,6725703684,10692942734,8301027428.99998,13186067863,33.294959339056,32.5516950462583,0.743264292797697,0.0523963758512734,0.26463951523074,"stable",1.55484619952695
"Cyclic ADP-ribose","Com_1741_neg","Cyclic ADP-ribose","C15 H21 N5 O13 P2",541.06154,2.528,540.05427,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",330305343,349598491.6,371948197.9,346019679.1,351709016.5,320174776.4,28.3367901146887,28.3836250839871,-0.0468349692983097,0.510668626055157,0.525914587336163,"stable",0.600644172825291
"N-Acetylneuraminic acid","Com_464_neg","N-Acetylneuraminic acid","C11 H19 N O9",309.10596,1.435,308.09868,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","N-acylneuraminic acids",72969465.41,88093127.1600001,87847670.1199999,92072063.5200001,82070646.8499999,82589132.6599999,26.3486905856949,26.3006054560983,0.0480851295965579,0.6751660885055,0.573283642897004,"stable",0.39497374986306
"Biotin","Com_1116_neg","Biotin","C10 H16 N2 O3 S",244.08816,5.429,243.08089,"Full match","Full match","Full match","Organoheterocyclic compounds","Biotin and derivatives","Not available","Biotin and derivatives",12701092.34,12160245.42,13914562.12,18807998.6,15434268.96,1548105.674,22.8688497798877,23.6214034755626,-0.752553695674887,0.582085246598717,0.548747529408567,"stable",0.54601471374991
"N-Acetyl-L-methionine","Com_391_neg","N-Acetyl-L-methionine","C7 H13 N O3 S",191.06173,5.316,190.05445,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Methionine and derivatives",6198753.38700001,5576484.584,7674036.853,29501942.92,12233731.49,17481751.25,24.1393380648151,22.615341814441,1.52399625037406,0.0409228115482414,0.254255529831193,"up",1.5700982824081
"Flavin adenine dinucleotide (FAD)","Com_505_neg","Flavin adenine dinucleotide (FAD)","C27 H33 N9 O15 P2",785.15894,5.202,784.15166,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",128161181,124656901.3,135788173.9,125666063.7,123502178,118371604.3,26.8679096340758,26.9478514060344,-0.0799417719586089,0.154693851985026,0.344192506233019,"stable",1.18084948208972
"Thymidine","Com_740_neg","Thymidine","C10 H14 N2 O5",242.09038,4.869,241.08307,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",2848264.691,3485413.345,4799632.973,10445159.7,5498709.53700001,4937008.889,22.6473995586268,21.7896809260021,0.857718632624731,0.111389926726515,0.319576796462239,"stable",1.28822539424157
"Uridine","Com_825_neg","Uridine","C9 H12 N2 O6",244.06935,2.238,243.06201,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",26242121.42,21746288.69,26179430.1,22482261.37,31939841.02,11761376.35,24.2795637261954,24.5538590808399,-0.274295354644536,0.585327094837645,0.549692678985876,"stable",0.53498569304814
"Adenosine 5'-monophosphate","Com_29_neg","Adenosine 5'-monophosphate","C10 H14 N5 O7 P",347.06309,1.578,346.05581,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",1556197292,1391728146,1764001055,1098475356,1081685194,76669676.17,28.7452138835578,30.5419374630167,-1.79672357945888,0.294274597245094,0.432069521214536,"stable",1.01461855295888
"Flavin mononucleotide (FMN)","Com_1879_neg","Flavin mononucleotide (FMN)","C17 H21 N4 O9 P",456.10508,5.281,455.09788,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",13263177.12,14587752.72,19068412.01,17312819.24,15545016.77,10188580.44,23.7385786322064,23.8812862505586,-0.142707618352215,0.642078832844077,0.5651405692635,"stable",0.434493749495443
"Glycoursodeoxycholic acid","Com_996_neg","Glycoursodeoxycholic acid","C26 H43 N O5",449.31458,7.468,448.3073,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",16302282.49,15778123.91,15868911.34,14266648.63,13182588.94,7076929.87,23.3909885742534,23.9298975980441,-0.538909023790694,0.233864458173923,0.398610705509562,"stable",1.13745201530298
"LPE O-16:1","Com_23_neg","LPE O-16:1","C21 H44 N O6 P",437.29066,9.811,436.28339,"No results","Full match","No results",NA,NA,NA,NA,710871750.8,682388629.8,539991277.5,308287948,766902322.4,327682064.4,28.6672974387021,29.2531310980146,-0.585833659312527,0.29970327354293,0.434627729410085,"stable",0.975883356864548
"Vanillyl alcohol","Com_35_neg","Vanillyl alcohol","C8 H10 O3",154.06304,5.614,153.05582,"Full match","No results","No results","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols",9377321.95,7080291.95400001,6567099.811,5228691.418,6532365.523,9794129.80399999,22.7268928245876,22.8543156354474,-0.127422810859791,0.704713531267353,0.580084411011322,"stable",0.35812597775485
"Gluconic acid","Com_66_neg","Gluconic acid","C6 H12 O7",150.0528,1.355,195.051,"Invalid mass","Invalid mass","No match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",223140703.5,244671021.5,240468977.3,416266921.1,334441750.4,318290389,28.3986272497407,27.813640668448,0.584986581292725,0.0285580807064304,0.245226192913092,"up",1.6228789202457
"Neopterin","Com_70_neg","Neopterin","C9 H11 N5 O4",253.08072,6.323,252.07345,"Full match","No results","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Biopterins and derivatives",14252291.71,91686781.8300001,19606270.29,32938821.68,27180758.25,46465434.2,25.0463408437734,24.8132375958261,0.23310324794733,0.808708816541466,0.611548876301455,"stable",0.237368060774368
"Methylmalonate","Com_95_neg","Methylmalonate","C4 H6 O4",118.02639,1.418,152.99578,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",15132384.1,16512761.33,17913201.3,21638362.63,13888045.06,12287894.85,23.8817208790218,23.9742446248796,-0.0925237458578003,0.749713923861685,0.593460360397981,"stable",0.312076105458925
"Mestranol","Com_98_neg","Mestranol","C21 H26 O2",310.18142,8.554,309.17415,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrane steroids",57041256.17,82089433.9200001,72424430.5199999,37369665.12,378086886.7,62743062.79,26.5174864971487,26.0553895733407,0.462096923807998,0.694074542457149,0.577684120525414,"stable",0.389068107306827
"LPC 16:0","Com_105_neg","LPC 16:0","C24 H50 N O7 P",541.33845,9.531,540.33117,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",156235230.5,136650252.2,96231231.67,71137753.37,221775186.1,92324623.66,26.7562823105796,26.9216864372625,-0.16540412668288,0.780846040645915,0.603188071276611,"stable",0.268321298884129
"Phenylacetaldehyde","Com_113_neg","Phenylacetaldehyde","C8 H8 O",120.05751,5.75,119.05022,"Full match","No results","No results","Benzenoids","Benzene and substituted derivatives","Phenylacetaldehydes","Phenylacetaldehydes",8821860.31199999,11195452.04,8698747.468,7740072.021,8391563.75099999,15416494.46,23.2541317407375,23.1804790609964,0.0736526797410875,0.842443963841502,0.621212006043927,"stable",0.192898515257344
"PC 16:1_16:1","Com_169_neg","PC 16:1_16:1","C40 H76 N O8 P",775.5381,10.045,774.53082,"No results","Invalid mass","No results",NA,NA,NA,NA,377062825.9,326728563.8,223021353.4,180436072.4,216477779.6,494264922.7,27.9990885120594,28.1687845454833,-0.169696033423833,0.757516434997977,0.595905620813634,"stable",0.294861712746097
"Cytidine-5'-monophosphate","Com_187_neg","Cytidine-5'-monophosphate","C9 H14 N3 O8 P",323.05177,1.463,322.04449,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",132075974.8,153207495.5,158472692.3,132578321.2,108306250,92066312.4199999,26.7096603111053,27.1357878252653,-0.426127514160008,0.0885634543079254,0.299833436752632,"stable",1.37368947171391
"Traumatic acid","Com_192_neg","Traumatic acid","C12 H20 O4",228.13615,6.505,227.12887,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",147887785.9,137939950.7,126217993.5,124855427,127791687.1,182721731.1,27.0899916746264,27.0302450440972,0.0597466305291938,0.776835475945149,0.601954895042811,"stable",0.274781705942125
"PC 14:0_16:0","Com_201_neg","PC 14:0_16:0","C38 H76 N O8 P",751.53773,11.145,750.53046,"No results","Invalid mass","No results",NA,NA,NA,NA,309000466.7,292603486.4,156994391.3,86048221.7799999,105465681.9,201690042,26.8661350150694,27.8511810909693,-0.985046075899923,0.11415806771062,0.321568902174154,"stable",1.2583417481903
"Guggulsterone","Com_209_neg","Guggulsterone","C21 H28 O2",312.20885,8.425,311.20157,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",19237042.15,17032070.72,18566090.64,17475653.12,18580226.78,17193439.18,24.0804875439465,24.1217669649703,-0.0412794210237521,0.549217626731906,0.538738582017563,"stable",0.555610578742253
"16-Hydroxyhexadecanoic acid","Com_223_neg","16-Hydroxyhexadecanoic acid","C16 H32 O3",272.23517,8.025,271.22789,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",125370208.8,120380351.2,122623533.9,110886757.9,109534851.9,191006127.1,26.9801234217066,26.8714348876306,0.108688534075991,0.721224748123232,0.584481435655166,"stable",0.354809829296211
"N-Isovalerylglycine","Com_230_neg","N-Isovalerylglycine","C7 H13 N O3",159.08957,5.641,158.08229,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",164051326.6,151976906,159212107.1,139432641.9,153292795.1,209780592.9,27.2970045764434,27.2384078993173,0.0585966771261042,0.775123705522175,0.601426219592315,"stable",0.282348173617486
"gamma-Nonanolactone","Com_241_neg","gamma-Nonanolactone","C9 H16 O2",156.11499,6.159,155.10758,"No results","No results","Full match","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","Gamma butyrolactones",1133473.08,950992.2866,218032.7527,1046939.34,861873.780200001,1395014.733,20.0422374770191,19.2351927189933,0.807044758025764,0.398028477003276,0.47998521045069,"stable",0.811206521882796
"(2S)-4-Oxo-2-phenyl-3,4-dihydro-2H-chromen-7-yl beta-D-glucopyranoside","Com_252_neg","(2S)-4-Oxo-2-phenyl-3,4-dihydro-2H-chromen-7-yl beta-D-glucopyranoside","C21 H22 O8",448.14209,7.05,447.13481,"Invalid mass","No results","No results",NA,NA,NA,NA,3078907.59,16184774.76,6367730.324,10067376.07,18753580.64,2925204.537,22.9679843974549,22.7014896321529,0.266494765302042,0.812201769470338,0.612572222270636,"stable",0.222569517315712
"Prostaglandin F3α","Com_255_neg","Prostaglandin F3α","C20 H32 O5",398.23376,8.892,397.22649,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",32065480.32,50580115.0000001,42435323.52,22928393.48,183637184.6,27984216.55,25.5470083127432,25.2884490013732,0.258559311370039,0.814092011703793,0.613123769716578,"stable",0.232142723952998
"Citraconic acid","Com_286_neg","Citraconic acid","C5 H6 O4",130.02657,2.015,129.01931,"No results","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",162397625.3,89115640.8100001,169841325.6,248764493.3,246766110,181009354.3,27.7334211291419,27.0079143062786,0.72550682286327,0.120971917969919,0.32617737151248,"stable",1.29630686244934
"LysoPE 18:0","Com_297_neg","LysoPE 18:0","C23 H48 N O7 P",481.31698,9.53,480.30971,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",50003600.57,42839056.3,32579947.72,22988653.81,73023779.2600001,27578823.05,25.0977797347181,25.2951443208173,-0.197364586099166,0.747266877640602,0.592705529333269,"stable",0.312927924831937
