"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"L-Glutamic acid","Com_12_neg","L-Glutamic acid","C5 H9 N O4",147.05307,1.354,146.04579,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",8641100510.00002,8036529574.00002,5926900925.00001,7824902213.00001,8184140419.00001,7196506849.99999,7198821077.00001,8880685614,4294918494,32.7222300033002,32.7923747334924,-0.0701447301922542,0.767719180346106,0.925903436305676,"stable",0.284582145496043
"L-Aspartic acid","Com_46_neg","L-Aspartic acid","C4 H7 N O4",133.03746,1.353,132.03018,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",1910766500,1769492739,1257534562,947390382.7,1065461554,903300966.9,662479382.5,972674184.900001,458669282.199999,29.5820679068562,30.5933813145742,-1.011313407718,0.00930249511630679,0.305816280236685,"down",2.10215385013515
"Phenylacetylglycine","Com_50_neg","Phenylacetylglycine","C10 H11 N O3",193.074,5.533,192.06672,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",515769639.6,597108297.5,417347162.3,463648385.3,400830162,371976919,187500365.2,357860093.1,187637342.1,28.2030033183817,28.9107472359992,-0.707743917617449,0.0381536278246168,0.462248063008833,"down",1.60703853775558
"N-Acetyl-1-aspartylglutamic acid","Com_51_neg","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8",304.09064,2.484,303.08336,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",367754246.2,391716517.1,239327274.5,395025952,316793662.4,388648487.7,101399395.9,764213674.999999,299265037.2,28.2653257065734,28.2779370197393,-0.0126113131659125,0.9782987864377,0.940910340261185,"stable",0.0217575829813361
"Citric acid","Com_18_neg","Citric acid","C6 H8 O7",192.02695,2.074,191.01968,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",3472856400,3798083325,2202477598,3750213235,4017607820,4337421411.00001,5870775402,2924190378,2660756261,31.8212814625884,31.5175267404724,0.303754722115983,0.362348030188224,0.85502655448574,"stable",0.976428419378974
"Azelaic acid","Com_32_neg","Azelaic acid","C9 H16 O4",188.10483,5.934,187.09755,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",807128713.799999,598462037.8,586628424.4,670242407,570356741.1,675431080.300001,857846049.500001,546411826.400001,282410303.6,29.0855674756286,29.290926583362,-0.205359107733354,0.46890954349483,0.884155753704711,"stable",0.593941543641975
"Asparagine","Com_171_neg","Asparagine","C4 H8 N2 O3",132.05346,1.325,131.04618,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",84081972.71,76070349.8700001,54199774.37,51972776.82,65266216.23,58391337.8099999,140504993.8,63769565.93,45496810.43,25.9703349776987,26.065969198891,-0.0956342211922632,0.761133986000632,0.925310247534171,"stable",0.264658700211761
"N-Acetyl-DL-glutamic acid","Com_76_neg","N-Acetyl-DL-glutamic acid","C7 H11 N O5",189.06364,2.288,188.05636,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",682513103.800001,683595403.799999,511868144.400001,724424136.8,615513659.2,643541442.399999,617782590.6,859511729.999999,455774760.7,29.2560241132969,29.2086819812733,0.0473421320235587,0.808797346346249,0.929401055768874,"stable",0.235388176646836
"L-Glutathione oxidized","Com_8_neg","L-Glutathione oxidized","C20 H32 N6 O12 S2",612.15211,2.277,611.14484,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",8434778250.00001,9593059665.99998,4350007716,11487553912,7578521626.00002,8549627904.00002,5625433189,10263466085,3688659510,32.776400311473,32.7171392309078,0.0592610805651645,0.897297851776645,0.935918016997117,"stable",0.139226167710912
"D-(-)-Glutamine","Com_402_neg","D-(-)-Glutamine","C5 H10 N2 O3",146.06916,1.333,145.06189,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",55040799.74,37855567.08,43437545.96,38107716.09,82898660.9599999,52052302.72,18598773.66,47381526.13,78782331.18,25.4999630316588,25.4201465014639,0.0798165301948757,0.830800978638144,0.931142107005652,"stable",0.166460522835901
"Indole-3-lactic acid","Com_624_neg","Indole-3-lactic acid","C11 H11 N O3",205.07396,5.673,204.06668,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",28869756.97,30777941.42,17496845.97,38979214.12,26097759.79,33140796.51,58628591.85,32418678,13359883.47,24.8770927215614,24.5730135256917,0.30407919586969,0.460853112950072,0.88236883509875,"stable",0.654570728953615
"(R)-3-Hydroxy myristic acid","Com_1360_neg","(R)-3-Hydroxy myristic acid","C14 H28 O3",244.20367,8.445,243.1964,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",11684986.72,11639734.18,12002031.34,18102088.19,10291762.77,12170770.55,10079974.89,13048589.99,7759897.392,23.4552570300041,23.4891609335617,-0.0339039035575688,0.848903569629587,0.932511380651792,"stable",0.138619264371891
"N-Acetyl-L-glutamine","Com_2714_neg","N-Acetyl-L-glutamine","C7 H12 N2 O4",188.07954,1.746,187.07223,"Full match","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamine and derivatives",22423197.71,22150179.52,14640838.83,15617054.2,18529950.48,15196248.05,20103932.11,15457943.03,5915074.144,23.7559951236363,24.2075995430427,-0.45160441940638,0.214878131828445,0.777654146351943,"stable",1.04106007650504
"UDP-N-acetylglucosamine","Com_44_neg","UDP-N-acetylglucosamine","C17 H27 N3 O17 P2",607.08231,1.762,606.07504,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",7677584718.99999,7069374786,4975610817.00001,5999871471.00001,6325840620.99999,5187124123.00001,13186067863,5266889497.99999,3160772174,32.4639019280173,32.5897224542654,-0.125820526248113,0.717110405771224,0.921086859927252,"stable",0.302091459463311
"Cyclic ADP-ribose","Com_1741_neg","Cyclic ADP-ribose","C15 H21 N5 O13 P2",541.06154,2.528,540.05427,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",243272202.2,251318806.5,141403141.4,234376416,221063625.3,182534600.3,320174776.4,207442458.5,113677907,27.6017550569077,27.6127261869576,-0.0109711300498994,0.975404185424453,0.940745376831655,"stable",0.0323112940004866
"N-Acetylneuraminic acid","Com_464_neg","N-Acetylneuraminic acid","C11 H19 N O9",309.10596,1.435,308.09868,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","N-acylneuraminic acids",128773306.3,147969876.9,117987452.3,180543368.4,165206849.5,137861722.3,82589132.6599999,95565194.46,53732478.73,26.7091394619178,26.9650149301736,-0.255875468255798,0.410364053690958,0.869780736091647,"stable",0.621166619864562
"Biotin","Com_1116_neg","Biotin","C10 H16 N2 O3 S",244.08816,5.429,243.08089,"Full match","Full match","Full match","Organoheterocyclic compounds","Biotin and derivatives","Not available","Biotin and derivatives",3483929.838,3417401.116,2685730.206,2614005.656,2054015.368,1803205.058,1548105.674,2616050.511,1224526.425,20.8624670632505,21.5978784194037,-0.735411356153236,0.0109008689666281,0.323771708406591,"down",1.91881034817288
"N-Acetyl-L-methionine","Com_391_neg","N-Acetyl-L-methionine","C7 H13 N O3 S",191.06173,5.316,190.05445,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Methionine and derivatives",45160791.79,46041983.6699999,45904971.81,39904664.88,20874252.59,23909312.18,17481751.25,31334816.47,26001592.94,24.6115084719618,25.4457203935107,-0.834211921548977,0.00471856007618259,0.224807098125509,"down",2.08617614756669
"Flavin adenine dinucleotide (FAD)","Com_505_neg","Flavin adenine dinucleotide (FAD)","C27 H33 N9 O15 P2",785.15894,5.202,784.15166,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",122966399,125841594.5,88822812.6999999,125251611.4,127055453.3,123571159.1,118371604.3,105230495.2,54782826.78,26.6461415978994,26.7283831477587,-0.0822415498593045,0.753930587895626,0.924650398424568,"stable",0.275137913907126
"Thymidine","Com_740_neg","Thymidine","C10 H14 N2 O5",242.09038,4.869,241.08307,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",30761557.69,27199118.84,24466072.51,9585313.83,12105048.45,7970828.663,4937008.889,5509522.55700001,5924648.24399999,22.7957996328265,24.7053203310434,-1.90952069821691,9.16063561400246e-05,0.0178937036480173,"down",2.45920539741133
"Uridine","Com_825_neg","Uridine","C9 H12 N2 O6",244.06935,2.238,243.06201,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",24077656.58,36921022.7,22615076.52,62713584.47,27250670.24,39887051.72,11761376.35,39489229.03,18882983.74,24.7907621692545,24.6966374569052,0.0941247123493412,0.827848753723823,0.930913514753494,"stable",0.176924755091487
"Adenosine 5'-monophosphate","Com_29_neg","Adenosine 5'-monophosphate","C10 H14 N5 O7 P",347.06309,1.578,346.05581,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",533821787.2,732100138.300001,865935032.1,3594153270,1604445655,3063077904,76669676.17,4331082130.99999,1687189778,30.4484959545981,29.3763107505341,1.07218520406392,0.285671148808652,0.823001693791247,"stable",0.795595163994664
"Flavin mononucleotide (FMN)","Com_1879_neg","Flavin mononucleotide (FMN)","C17 H21 N4 O9 P",456.10508,5.281,455.09788,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",11182545.92,13589366.02,8129908.71999999,9522486.12799999,9838135.968,8818303.335,10188580.44,9488271.323,5580724.799,23.059185786176,23.3551759622604,-0.295990176084359,0.314561127367365,0.836601410751889,"stable",1.12983798508712
"Glycoursodeoxycholic acid","Com_996_neg","Glycoursodeoxycholic acid","C26 H43 N O5",449.31458,7.468,448.3073,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",23666479.29,28258643.25,17828366.01,19660878.51,18035332.36,16272903.52,7076929.87,15577594.84,11329228.6,23.7283871886844,24.4454005931491,-0.717013404464694,0.0493360852717234,0.483344616335617,"down",1.63270574463055
"LPE O-16:1","Com_23_neg","LPE O-16:1","C21 H44 N O6 P",437.29066,9.811,436.28339,"No results","Full match","No results",NA,NA,NA,NA,129534775.3,197518170,258690651.4,576531201.4,293378877.4,324214390.1,327682064.4,613307328.2,622834808.899999,28.6995694743897,27.4842756770935,1.21529379729619,0.0255672743615613,0.422222376307311,"up",2.09604702486384
"Vanillyl alcohol","Com_35_neg","Vanillyl alcohol","C8 H10 O3",154.06304,5.614,153.05582,"Full match","No results","No results","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols",5312815.832,4950143.92,5256190.401,6091103.41799999,6458451.51999999,5884910.085,9794129.80399999,6238084.889,2408921.897,22.440955302346,22.30189013947,0.139065162875948,0.632268595179331,0.911435608404591,"stable",0.349907725822041
"Gluconic acid","Com_66_neg","Gluconic acid","C6 H12 O7",150.0528,1.355,195.051,"Invalid mass","Invalid mass","No match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",2125214070,2028926197,1492887646,2302052088,2148975894,2117837219,318290389,2004593176,1309488174,30.4190011022902,30.7928295705869,-0.373828468296651,0.463524635330392,0.882967457674665,"stable",0.55357302921197
"Neopterin","Com_70_neg","Neopterin","C9 H11 N5 O4",253.08072,6.323,252.07345,"Full match","No results","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Biopterins and derivatives",29024906.97,16165452.41,130067827.1,19509086.22,23883447.66,29467459.52,46465434.2,30441563.02,357497957.1,25.3803872341672,25.2306291875996,0.149758046567584,0.897737390605015,0.935947382355724,"stable",0.138303886184204
"Methylmalonate","Com_95_neg","Methylmalonate","C4 H6 O4",118.02639,1.418,152.99578,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",1326822446,1297442938,874823005.8,1319131974,1410737773,1187617590,12287894.85,1124292098,622207299.2,28.9443486599726,30.0942560136257,-1.14990735365315,0.344920470710425,0.848809050592928,"stable",0.699371583807869
"Mestranol","Com_98_neg","Mestranol","C21 H26 O2",310.18142,8.554,309.17415,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrane steroids",67736438.33,38255290.34,199554433.3,35075707.86,44153692.38,33184661.46,62743062.79,37828258.11,78439433.7500001,25.4575003786905,26.2582639400583,-0.800763561367756,0.371165613571822,0.85798149144994,"stable",1.29569133369083
"LPC 16:0","Com_105_neg","LPC 16:0","C24 H50 N O7 P",541.33845,9.531,540.33117,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",52925228.79,80125233.6900001,107559049.3,124633027,69541716.9400001,76873177,92324623.66,136828470.5,145755651.5,26.624574237253,26.197919752139,0.426654485113939,0.295377153159684,0.827816365719471,"stable",1.16730561031362
"Phenylacetaldehyde","Com_113_neg","Phenylacetaldehyde","C8 H8 O",120.05751,5.75,119.05022,"Full match","No results","No results","Benzenoids","Benzene and substituted derivatives","Phenylacetaldehydes","Phenylacetaldehydes",14929760.54,14865254.6,10925314.32,17513346.18,14157646.92,15682914.8,15416494.46,16618115.36,6876145.067,23.7161855632799,23.679433326003,0.0367522372768576,0.888896956781309,0.935351536524802,"stable",0.117593016817425
"PC 16:1_16:1","Com_169_neg","PC 16:1_16:1","C40 H76 N O8 P",775.5381,10.045,774.53082,"No results","Invalid mass","No results",NA,NA,NA,NA,532576493.4,365945319.2,294759308.4,269430657.1,542703797.7,809377909.1,494264922.7,510746624.4,104142984.1,28.5093164980189,28.5234761654083,-0.0141596673894213,0.978022430014389,0.940894630368172,"stable",0.0220722698989757
"Cytidine-5'-monophosphate","Com_187_neg","Cytidine-5'-monophosphate","C9 H14 N3 O8 P",323.05177,1.463,322.04449,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",138288512.8,122932075,101069236.1,234805916.6,163719553.8,197120645.9,92066312.4199999,213889655.5,102972422.5,27.2323654728553,26.8357203054679,0.396645167387405,0.180794782935864,0.74636894447728,"stable",1.05294355981219
"Traumatic acid","Com_192_neg","Traumatic acid","C12 H20 O4",228.13615,6.505,227.12887,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",128664366.7,104537245.9,95094791.07,97250617.32,112419313.1,132418887,182721731.1,116987334,57006496.8900001,26.7119209167519,26.6937807047767,0.0181402119752505,0.946569832991275,0.939050380835609,"stable",0.0534488121089932
