"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Asparagine","Com_171_neg","Asparagine","C4 H8 N2 O3",132.05346,1.325,131.04618,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",162800146.3,177559319.9,181700668.7,566637493.5,245086359.6,374132836.8,28.4751803763683,27.3730803634271,1.10210001294119,0.104064521224828,0.27444018223639,"stable",1.39921713381167
"N-Acetyl-DL-glutamic acid","Com_76_neg","N-Acetyl-DL-glutamic acid","C7 H11 N O5",189.06364,2.288,188.05636,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",300125723.1,312890677.3,350877036.1,563288976.3,920222392.1,650543268.799999,29.374592364705,28.2561551519306,1.11843721277445,0.0362689127815537,0.235841821212269,"up",1.54488209411897
"L-Glutathione oxidized","Com_8_neg","L-Glutathione oxidized","C20 H32 N6 O12 S2",612.15211,2.277,611.14484,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",13027816679,14348651583,14387339709,10131513090,8849316471,11673168625,33.2411755507921,33.695051063897,-0.453875513104933,0.066203024768769,0.259965937298958,"stable",1.45583488213053
"D-(-)-Glutamine","Com_402_neg","D-(-)-Glutamine","C5 H10 N2 O3",146.06916,1.333,145.06189,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",15683435.1,18053883.54,15674461.07,78947986.9000001,97286675.5,45904870.99,26.0740939813309,23.9701522075233,2.10394177380758,0.0170511764782669,0.202480651428498,"up",1.58470570570098
"Indole-3-lactic acid","Com_624_neg","Indole-3-lactic acid","C11 H11 N O3",205.07396,5.673,204.06668,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",12128375.06,13825966.53,17634066.74,11036633.07,5442263.082,11751990.08,23.0859912660704,23.7748739431353,-0.688882677064949,0.190125316490558,0.325338449368984,"stable",1.10000552190785
"(R)-3-Hydroxy myristic acid","Com_1360_neg","(R)-3-Hydroxy myristic acid","C14 H28 O3",244.20367,8.445,243.1964,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",16375087.95,16109641.66,20174953.97,17614030.15,20764222.46,17158006.29,24.1367322693871,24.0574941444185,0.0792381249685228,0.692930964435527,0.514877776128346,"stable",0.466340655437216
"N-Acetyl-L-glutamine","Com_2714_neg","N-Acetyl-L-glutamine","C7 H12 N2 O4",188.07954,1.746,187.07223,"Full match","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamine and derivatives",10642457.67,11817036.79,13828490.24,31177390.78,17619716.96,27059392.96,24.5514368037892,23.519611104694,1.03182569909513,0.0676975209416067,0.260679163202648,"stable",1.47059709225405
"UDP-N-acetylglucosamine","Com_44_neg","UDP-N-acetylglucosamine","C17 H27 N3 O17 P2",607.08231,1.762,606.07504,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",5910081322.00001,6277383616.00001,6725703684,10692942734,8722755021.99998,8301027428.99998,33.0962397943712,32.5516950462583,0.544544748112848,0.0791852058830401,0.265357741635022,"stable",1.51129252972554
"Cyclic ADP-ribose","Com_1741_neg","Cyclic ADP-ribose","C15 H21 N5 O13 P2",541.06154,2.528,540.05427,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",330305343,349598491.6,371948197.9,346019679.1,267556434.6,351709016.5,28.2504513045837,28.3836250839871,-0.133173779403336,0.423153974827439,0.418063502631215,"stable",0.725954218392781
"N-Acetylneuraminic acid","Com_464_neg","N-Acetylneuraminic acid","C11 H19 N O9",309.10596,1.435,308.09868,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","N-acylneuraminic acids",72969465.41,88093127.1600001,87847670.1199999,92072063.5200001,84431324.7900001,82070646.8499999,26.3592993828604,26.3006054560983,0.0586939267620146,0.71351567234285,0.522186098031466,"stable",0.455778550377302
"Biotin","Com_1116_neg","Biotin","C10 H16 N2 O3 S",244.08816,5.429,243.08089,"Full match","Full match","Full match","Organoheterocyclic compounds","Biotin and derivatives","Not available","Biotin and derivatives",12701092.34,12160245.42,13914562.12,18807998.6,8656991.68899999,15434268.96,23.6966370535395,23.6214034755626,0.0752335779768707,0.82940986370357,0.559544278375284,"stable",0.182265021152023
"N-Acetyl-L-methionine","Com_391_neg","N-Acetyl-L-methionine","C7 H13 N O3 S",191.06173,5.316,190.05445,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Methionine and derivatives",6198753.38700001,5576484.584,7674036.853,29501942.92,9281467.74400001,12233731.49,23.8348631170541,22.615341814441,1.21952130261301,0.141863557543206,0.29627870224894,"stable",1.26271622027203
"Flavin adenine dinucleotide (FAD)","Com_505_neg","Flavin adenine dinucleotide (FAD)","C27 H33 N9 O15 P2",785.15894,5.202,784.15166,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",128161181,124656901.3,135788173.9,125666063.7,128268881,123502178,26.9065256887902,26.9478514060344,-0.0413257172442592,0.508662168398003,0.447215614437296,"stable",0.767851390933928
"Thymidine","Com_740_neg","Thymidine","C10 H14 N2 O5",242.09038,4.869,241.08307,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",2848264.691,3485413.345,4799632.973,10445159.7,6279403.59800001,5498709.53700001,22.7630629917731,21.7896809260021,0.973382065771045,0.184515067024297,0.322337528219228,"stable",1.33886446398877
"Uridine","Com_825_neg","Uridine","C9 H12 N2 O6",244.06935,2.238,243.06201,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",26242121.42,21746288.69,26179430.1,22482261.37,12139629.92,31939841.02,24.294786240508,24.5538590808399,-0.259072840331871,0.510239071035418,0.447693066744231,"stable",0.491978390959071
"Adenosine 5'-monophosphate","Com_29_neg","Adenosine 5'-monophosphate","C10 H14 N5 O7 P",347.06309,1.578,346.05581,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",1556197292,1391728146,1764001055,1098475356,1024806926,1081685194,29.9920646283886,30.5419374630167,-0.549872834628086,0.0204259702329202,0.20728073608606,"down",1.55464681636031
"Flavin mononucleotide (FMN)","Com_1879_neg","Flavin mononucleotide (FMN)","C17 H21 N4 O9 P",456.10508,5.281,455.09788,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",13263177.12,14587752.72,19068412.01,17312819.24,13924856.75,15545016.77,23.8888151086073,23.8812862505586,0.00752885804870118,0.973333834021924,0.598525574861632,"stable",0.0345087205172643
"Glycoursodeoxycholic acid","Com_996_neg","Glycoursodeoxycholic acid","C26 H43 N O5",449.31458,7.468,448.3073,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",16302282.49,15778123.91,15868911.34,14266648.63,9285782.61599999,13182588.94,23.5216218690762,23.9298975980441,-0.408275728967887,0.150890506172808,0.302179954154955,"stable",1.21295249090642
"LPE O-16:1","Com_23_neg","LPE O-16:1","C21 H44 N O6 P",437.29066,9.811,436.28339,"No results","Full match","No results",NA,NA,NA,NA,710871750.8,682388629.8,539991277.5,308287948,157483177.1,766902322.4,28.3149311099277,29.2531310980146,-0.938199988086922,0.346526917387396,0.385046816622115,"stable",0.949477821425904
"Vanillyl alcohol","Com_35_neg","Vanillyl alcohol","C8 H10 O3",154.06304,5.614,153.05582,"Full match","No results","No results","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols",9377321.95,7080291.95400001,6567099.811,5228691.418,8237609.07600001,6532365.523,22.6436622734965,22.8543156354474,-0.210653361950893,0.58090905094462,0.470831284114126,"stable",0.654693810334055
"Gluconic acid","Com_66_neg","Gluconic acid","C6 H12 O7",150.0528,1.355,195.051,"Invalid mass","Invalid mass","No match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",223140703.5,244671021.5,240468977.3,416266921.1,326979362.7,334441750.4,28.4115792458941,27.813640668448,0.597938577446151,0.0587656193300833,0.255951227991793,"stable",1.54428451985705
"Neopterin","Com_70_neg","Neopterin","C9 H11 N5 O4",253.08072,6.323,252.07345,"Full match","No results","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Biopterins and derivatives",14252291.71,91686781.8300001,19606270.29,32938821.68,27768243.54,27180758.25,24.7987668551488,24.8132375958261,-0.0144707406772966,0.988379925170325,0.602206040478119,"stable",0.0144111028536542
"Methylmalonate","Com_95_neg","Methylmalonate","C4 H6 O4",118.02639,1.418,152.99578,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",15132384.1,16512761.33,17913201.3,21638362.63,11386205.7,13888045.06,23.845070643225,23.9742446248796,-0.129173981654525,0.730387597815208,0.528014043956506,"stable",0.369937658498395
"Mestranol","Com_98_neg","Mestranol","C21 H26 O2",310.18142,8.554,309.17415,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrane steroids",57041256.17,82089433.9200001,72424430.5199999,37369665.12,62459694.65,378086886.7,26.5153096840245,26.0553895733407,0.459920110683843,0.680384431982365,0.51031260759719,"stable",0.363932400713675
"LPC 16:0","Com_105_neg","LPC 16:0","C24 H50 N O7 P",541.33845,9.531,540.33117,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",156235230.5,136650252.2,96231231.67,71137753.37,65236477.83,221775186.1,26.5892701156646,26.9216864372625,-0.33241632159789,0.707591771359873,0.520105561737687,"stable",0.439453522801808
"Phenylacetaldehyde","Com_113_neg","Phenylacetaldehyde","C8 H8 O",120.05751,5.75,119.05022,"Full match","No results","No results","Benzenoids","Benzene and substituted derivatives","Phenylacetaldehydes","Phenylacetaldehydes",8821860.31199999,11195452.04,8698747.468,7740072.021,9474714.70200001,8391563.75099999,23.0200249599505,23.1804790609964,-0.160454101045939,0.104321545350457,0.274527339568422,"stable",0.802407993821892
"PC 16:1_16:1","Com_169_neg","PC 16:1_16:1","C40 H76 N O8 P",775.5381,10.045,774.53082,"No results","Invalid mass","No results",NA,NA,NA,NA,377062825.9,326728563.8,223021353.4,180436072.4,255691216.2,216477779.6,27.6821278708166,28.1687845454833,-0.486656674666694,0.248351996986022,0.350499898315321,"stable",1.11476057820609
"Cytidine-5'-monophosphate","Com_187_neg","Cytidine-5'-monophosphate","C9 H14 N3 O8 P",323.05177,1.463,322.04449,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",132075974.8,153207495.5,158472692.3,132578321.2,117879074.8,108306250,26.8285144359483,27.1357878252653,-0.307273389317071,0.201801896022702,0.331206345579026,"stable",1.32160782242112
"Traumatic acid","Com_192_neg","Traumatic acid","C12 H20 O4",228.13615,6.505,227.12887,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",147887785.9,137939950.7,126217993.5,124855427,158801875.5,127791687.1,27.0225182504053,27.0302450440972,-0.00772679369190854,0.957942755577985,0.594689582708631,"stable",0.0498028353225438
"PC 14:0_16:0","Com_201_neg","PC 14:0_16:0","C38 H76 N O8 P",751.53773,11.145,750.53046,"No results","Invalid mass","No results",NA,NA,NA,NA,309000466.7,292603486.4,156994391.3,86048221.7799999,126453450.1,105465681.9,26.641623862923,27.8511810909693,-1.20955722804628,0.0809316406186504,0.265964765782961,"stable",1.43538215398184
"Guggulsterone","Com_209_neg","Guggulsterone","C21 H28 O2",312.20885,8.425,311.20157,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",19237042.15,17032070.72,18566090.64,17475653.12,20498008.04,18580226.78,24.1650293986179,24.1217669649703,0.0432624336476728,0.751061616140408,0.534964338959963,"stable",0.409949631066416
"16-Hydroxyhexadecanoic acid","Com_223_neg","16-Hydroxyhexadecanoic acid","C16 H32 O3",272.23517,8.025,271.22789,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",125370208.8,120380351.2,122623533.9,110886757.9,107204861.5,109534851.9,26.7023738925223,26.8714348876306,-0.1690609951083,0.000621773073406537,0.0787529273657308,"stable",1.60669646510306
"N-Isovalerylglycine","Com_230_neg","N-Isovalerylglycine","C7 H13 N O3",159.08957,5.641,158.08229,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",164051326.6,151976906,159212107.1,139432641.9,162698783.2,153292795.1,27.1747786574514,27.2384078993173,-0.0636292418659039,0.576394519609571,0.469422146297168,"stable",0.668681792266672
"gamma-Nonanolactone","Com_241_neg","gamma-Nonanolactone","C9 H16 O2",156.11499,6.159,155.10758,"No results","No results","Full match","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","Gamma butyrolactones",1133473.08,950992.2866,218032.7527,1046939.34,1268931.088,861873.780200001,19.9966819316825,19.2351927189933,0.761489212689227,0.350071078543128,0.386754471382365,"stable",0.735332942525211
"(2S)-4-Oxo-2-phenyl-3,4-dihydro-2H-chromen-7-yl beta-D-glucopyranoside","Com_252_neg","(2S)-4-Oxo-2-phenyl-3,4-dihydro-2H-chromen-7-yl beta-D-glucopyranoside","C21 H22 O8",448.14209,7.05,447.13481,"Invalid mass","No results","No results",NA,NA,NA,NA,3078907.59,16184774.76,6367730.324,10067376.07,6576981.078,18753580.64,23.3576137357466,22.7014896321529,0.656124103593733,0.571610818071774,0.467945928267358,"stable",0.616768557386827
"Prostaglandin F3α","Com_255_neg","Prostaglandin F3α","C20 H32 O5",398.23376,8.892,397.22649,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",32065480.32,50580115.0000001,42435323.52,22928393.48,30835293.87,183637184.6,25.5936647251791,25.2884490013732,0.305215723805965,0.768414460593018,0.540642022754857,"stable",0.261587447761009
"Citraconic acid","Com_286_neg","Citraconic acid","C5 H6 O4",130.02657,2.015,129.01931,"No results","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",162397625.3,89115640.8100001,169841325.6,248764493.3,211091446.4,246766110,27.8073557508279,27.0079143062786,0.799441444549274,0.0700051231014875,0.261727677727363,"stable",1.31287416540981
"LysoPE 18:0","Com_297_neg","LysoPE 18:0","C23 H48 N O7 P",481.31698,9.53,480.30971,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",50003600.57,42839056.3,32579947.72,22988653.81,21178914.82,73023779.2600001,24.9708023278836,25.2951443208173,-0.324341992933718,0.705772554928106,0.519462992495045,"stable",0.430540647567976
