"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_2w_1","OCI_M2_2w_2","OCI_M2_2w_3","OCI_M2_6w_1","OCI_M2_6w_2","OCI_M2_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"L-Glutamic acid","Com_12_neg","L-Glutamic acid","C5 H9 N O4",147.05307,1.354,146.04579,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",8192852462.00001,6736320594.00001,7522009920.00001,7545820211.99998,7842495363.99999,8061170895,7048506062.00001,6306982898.00001,5999246112,32.7235242961745,32.7965011354474,-0.0729768392729753,0.529644717091631,0.463907043357434,"stable",0.497883443873337
"L-Aspartic acid","Com_46_neg","L-Aspartic acid","C4 H7 N O4",133.03746,1.353,132.03018,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Aspartic acid and derivatives",2075113141,1322493383,1513793687,1680802527,1672762159,1984583268,1389788001,1185431397,902139496.800001,30.4060058714533,30.5822258866508,-0.176220015197423,0.52082238784807,0.461122274849727,"stable",0.507018712292463
"Phenylacetylglycine","Com_50_neg","Phenylacetylglycine","C10 H11 N O3",193.074,5.533,192.06672,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",237172739.2,250681465.8,186209749,198825152.3,303126890.3,188289937.1,217200616.5,202572647.7,270388071.5,27.7549042768959,27.7316654711662,0.0232388057296831,0.898487325957805,0.591475717614949,"stable",0.102249201849392
"N-Acetyl-1-aspartylglutamic acid","Com_51_neg","N-Acetyl-1-aspartylglutamic acid","C11 H16 N2 O8",304.09064,2.484,303.08336,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",1014424215,1013843209,1023443943,1463050597,1850828556,1681054236,1394264841,1592473431,1546810713,30.5584508188756,29.9219954305316,0.636455388344061,0.000116908978605732,0.0098178319071744,"up",2.03353627671848
"Citric acid","Com_18_neg","Citric acid","C6 H8 O7",192.02695,2.074,191.01968,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives",1549393234,1280845013,1806769536,2448177433,2662974467,1633614528,2267785168,2666736560,3336990677,31.1886397313575,30.5114234384157,0.677216292941875,0.0165642686578526,0.121945858545472,"up",1.62564319131073
"Azelaic acid","Com_32_neg","Azelaic acid","C9 H16 O4",188.10483,5.934,187.09755,"Full match","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",590594627.899999,764697093,752055012.7,617786960,579319995.899999,762222654.600001,647891960.600001,465512497.400001,564812664.7,29.1594294197588,29.3780563664316,-0.218626946672863,0.219902111149775,0.329997191573216,"stable",0.985787609399821
"Asparagine","Com_171_neg","Asparagine","C4 H8 N2 O3",132.05346,1.325,131.04618,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",349310877.7,308881982.1,336459660.8,345184257.9,364654435.8,375901597.6,316085856,244758386.6,249711905.3,28.2147899327596,28.3027583700381,-0.0879684372785157,0.498434274782773,0.454162447018806,"stable",0.424159522426552
"N-Acetyl-DL-glutamic acid","Com_76_neg","N-Acetyl-DL-glutamic acid","C7 H11 N O5",189.06364,2.288,188.05636,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",740136399.8,758806700.4,680888745,849569236.9,1018006596,804023897,762162800.1,807716089.3,1044641924,29.7038462570564,29.4350723169417,0.268773940114652,0.0215783338258407,0.135457915610303,"up",1.40844239740286
"L-Glutathione oxidized","Com_8_neg","L-Glutathione oxidized","C20 H32 N6 O12 S2",612.15211,2.277,611.14484,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",16524394204,20082953432,18547117254,18892924100,21090203818,15842915394,15708155247,15446007679,16891093660,34.0014921799232,34.0932022159296,-0.0917100360064893,0.440051600222575,0.433947521671643,"stable",0.601174357578351
"D-(-)-Glutamine","Com_402_neg","D-(-)-Glutamine","C5 H10 N2 O3",146.06916,1.333,145.06189,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",155708024.4,181521024.7,103200845.9,41603328.93,76125513.3100001,95903914.85,140064539,117546800.7,103559887.2,26.4172042198238,27.0902363423753,-0.673032122551508,0.103888394885004,0.243026403417246,"stable",1.15736186265863
"Indole-3-lactic acid","Com_624_neg","Indole-3-lactic acid","C11 H11 N O3",205.07396,5.673,204.06668,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",19702281.21,13194465.32,22371655.86,46654681.98,26602237.44,22668482.46,25226112.8,31550119.22,38532958.18,24.878982262347,24.1001525351152,0.778829727231791,0.0490792127405565,0.187252476728114,"up",1.56486331859395
"(R)-3-Hydroxy myristic acid","Com_1360_neg","(R)-3-Hydroxy myristic acid","C14 H28 O3",244.20367,8.445,243.1964,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",12866675.74,14644451.37,14550334.57,13202066.62,10086797.51,12210038.9,16642312.37,14478370.49,18582200.82,23.730826048167,23.7385119432116,-0.00768589504459527,0.958652136318846,0.607039543591657,"stable",0.0325010870167616
"N-Acetyl-L-glutamine","Com_2714_neg","N-Acetyl-L-glutamine","C7 H12 N2 O4",188.07954,1.746,187.07223,"Full match","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamine and derivatives",27518668.02,27441280.55,23953323.67,22141854.07,25041010.09,21268476.3,25200652.46,20188868.23,24655855.38,24.4549528140862,24.6458247643674,-0.190871950281206,0.0797573946726912,0.218162364036044,"stable",1.32996830507345
"UDP-N-acetylglucosamine","Com_44_neg","UDP-N-acetylglucosamine","C17 H27 N3 O17 P2",607.08231,1.762,606.07504,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",9833210976.99998,8370149461.99999,9865157696,8583957717.99998,7882870381.99999,8397948568.00002,7362524227.99999,8745836879.99998,9849021510,32.973882569585,33.1191055521327,-0.145222982547708,0.205826519860671,0.321567207072613,"stable",1.045853584695
"Cyclic ADP-ribose","Com_1741_neg","Cyclic ADP-ribose","C15 H21 N5 O13 P2",541.06154,2.528,540.05427,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",125512633.1,120845553.7,109850393.5,127493083.3,108448539.3,142524606.3,122807891.3,174916717.2,198244162.5,27.0869231671436,26.8209370964373,0.265986070706255,0.114903729384772,0.254426180590879,"stable",0.970616105488087
"N-Acetylneuraminic acid","Com_464_neg","N-Acetylneuraminic acid","C11 H19 N O9",309.10596,1.435,308.09868,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","N-acylneuraminic acids",111762220.1,94012832.46,105528233.9,93691363.18,83403467.9799999,96221474.5200001,65030613.5500001,96553862.7699999,81830721.42,26.346742985134,26.6250885005931,-0.278345515459034,0.049071316075017,0.187242778999732,"down",1.30490611137107
"Biotin","Com_1116_neg","Biotin","C10 H16 N2 O3 S",244.08816,5.429,243.08089,"Full match","Full match","Full match","Organoheterocyclic compounds","Biotin and derivatives","Not available","Biotin and derivatives",8986954.881,13197798.06,10425060.41,17746757.1,20778204.7,14319687.74,24950818.69,13423957.19,22191760.05,24.1359212858012,23.3555824162685,0.78033886953272,0.0146885288931063,0.115792374411046,"up",1.68275827954854
"N-Acetyl-L-methionine","Com_391_neg","N-Acetyl-L-methionine","C7 H13 N O3 S",191.06173,5.316,190.05445,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Methionine and derivatives",15531857.01,17904305.54,15113734.44,14340508.8,21453895.71,10511245.84,12340752.13,28835538.54,35500259.31,24.145559561509,23.9439623545304,0.201597206978537,0.524622511665534,0.462264677539421,"stable",0.382614219705722
"Flavin adenine dinucleotide (FAD)","Com_505_neg","Flavin adenine dinucleotide (FAD)","C27 H33 N9 O15 P2",785.15894,5.202,784.15166,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",116374929.5,132324945.7,128305153.4,118229534.6,90717340.1,130099364.8,129057584.7,115088626.9,137434471.9,26.8271178850836,26.9029062502519,-0.0757883651682647,0.488662698294796,0.450995924274734,"stable",0.455180788700391
"Thymidine","Com_740_neg","Thymidine","C10 H14 N2 O5",242.09038,4.869,241.08307,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",25871479.15,22207821.58,32827918.42,34713612.61,22949110,24951410.34,9653082.785,15949181.5,14743827.18,24.1694493628414,24.6659478959088,-0.496498533067449,0.157012527940559,0.288676285143762,"stable",0.90898153612136
"Uridine","Com_825_neg","Uridine","C9 H12 N2 O6",244.06935,2.238,243.06201,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",10400110.77,17456080.92,13618871.16,11338084.36,9043327.211,8196183.50600001,12007355.16,10281723.83,19164961.66,23.4187630565276,23.6888085693028,-0.270045512775244,0.378847315142962,0.409075058829749,"stable",0.710980442327777
"Adenosine 5'-monophosphate","Com_29_neg","Adenosine 5'-monophosphate","C10 H14 N5 O7 P",347.06309,1.578,346.05581,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",373652789.9,329897616.2,425929183.9,738589301.300001,975857304.100001,394719084.8,343718010.6,379840681.3,323489986,28.8341930548169,28.480201502981,0.353991551835964,0.266030715003134,0.357388682918954,"stable",0.684357802656011
"Flavin mononucleotide (FMN)","Com_1879_neg","Flavin mononucleotide (FMN)","C17 H21 N4 O9 P",456.10508,5.281,455.09788,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",12024582.95,14087107.19,11182841.24,10478150.9,16553796.73,11902611.85,15442842.84,12954470.31,14272971.76,23.6800797662431,23.5607130049839,0.119366761259222,0.428666123261439,0.429611486630758,"stable",0.58676819441183
"Glycoursodeoxycholic acid","Com_996_neg","Glycoursodeoxycholic acid","C26 H43 N O5",449.31458,7.468,448.3073,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",10323439.86,12481752.64,9559384.83600001,9556029.015,14163754.17,10425187.82,12163851.19,10887369.23,11860679.01,23.4448637127757,23.3537413248065,0.0911223879692322,0.549989500079441,0.470469271648731,"stable",0.51664763653545
"LPE O-16:1","Com_23_neg","LPE O-16:1","C21 H44 N O6 P",437.29066,9.811,436.28339,"No results","Full match","No results",NA,NA,NA,NA,48078759.3900001,59301334.09,34831946.74,86316954.5899999,93496628.9299999,81466758.32,74892828.41,107700643.8,101593454.2,26.4267113151898,25.4647884433738,0.961922871816029,0.0368526391833723,0.169186901057545,"up",1.92125623667697
"Vanillyl alcohol","Com_35_neg","Vanillyl alcohol","C8 H10 O3",154.06304,5.614,153.05582,"Full match","No results","No results","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols",4649395.053,4837198.619,5242949.422,6385295.86099999,4956297.388,6539133.284,6963116.47899999,3203057.183,4813017.865,22.3381085929939,22.2254330428422,0.112675550151693,0.551438234122851,0.470924883887655,"stable",0.359929446011585
"Gluconic acid","Com_66_neg","Gluconic acid","C6 H12 O7",150.0528,1.355,195.051,"Invalid mass","Invalid mass","No match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",757685483.999999,644254965.1,581801657.4,332175022.1,306543820,267512065.1,305761622,267152433.2,365984428.6,28.1870070317263,29.2920108475657,-1.10500381583941,0.00142954264264445,0.0454066271293634,"down",2.06725955151817
"Neopterin","Com_70_neg","Neopterin","C9 H11 N5 O4",253.08072,6.323,252.07345,"Full match","No results","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Biopterins and derivatives",30831412.76,57716324.39,34261963.12,20116723.02,14908034.39,31969724.96,14894855.99,94908670.0700001,12404561.95,24.4857327553299,25.2301594111288,-0.74442665579895,0.20140126452298,0.318941428890846,"stable",0.826187509838943
"Methylmalonate","Com_95_neg","Methylmalonate","C4 H6 O4",118.02639,1.418,152.99578,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",25460638.21,18970516.41,22871436.98,20658176.03,23050219.8,23310175.7,24645998.13,29111353.55,27436284.03,24.5487422795938,24.4086881795652,0.140054100028536,0.393929175488718,0.415464998545712,"stable",0.790526017870314
"Mestranol","Com_98_neg","Mestranol","C21 H26 O2",310.18142,8.554,309.17415,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrane steroids",48202393.92,101352481.6,48448481.12,65848315.41,20730568.1,56192260.29,88874904.5900001,40317871.28,28145313.05,25.4063913121482,25.8824519121059,-0.476060599957727,0.36496697722039,0.403094391428064,"stable",0.700933179611952
"LPC 16:0","Com_105_neg","LPC 16:0","C24 H50 N O7 P",541.33845,9.531,540.33117,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",25100337.05,37155693.05,20186609.02,44492699.2,50226605.97,41081400.58,42184864.39,62862433.2199999,59194069.09,25.5559769964924,24.6650595312944,0.890917465197976,0.0570675954489211,0.196086656442867,"stable",1.78879245275653
"Phenylacetaldehyde","Com_113_neg","Phenylacetaldehyde","C8 H8 O",120.05751,5.75,119.05022,"Full match","No results","No results","Benzenoids","Benzene and substituted derivatives","Phenylacetaldehydes","Phenylacetaldehydes",9411742.542,8855579.38,9635001.41200001,9494406.40799999,7832490.92299999,10178703.88,9357795.16500001,7704980.457,9709440.20700001,23.1007984069643,23.1480130470418,-0.0472146400774918,0.564487827436357,0.476336564807875,"stable",0.36632271895594
"PC 16:1_16:1","Com_169_neg","PC 16:1_16:1","C40 H76 N O8 P",775.5381,10.045,774.53082,"No results","Invalid mass","No results",NA,NA,NA,NA,278301771.7,332154644.8,354869876.5,504593271.7,316132166.5,538241888,302379043.1,329567847.7,331548690.5,28.4871010742347,28.2540231914198,0.233077882814928,0.244277999066997,0.344555052763416,"stable",0.771904735284802
"Cytidine-5'-monophosphate","Com_187_neg","Cytidine-5'-monophosphate","C9 H14 N3 O8 P",323.05177,1.463,322.04449,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",141499713.9,112983114.5,153655695.9,134141337.2,117165163,121528270.2,115103278.6,124030802.8,109696232.5,26.8388799056343,27.0076272788824,-0.168747373248038,0.330256275538392,0.389033737717594,"stable",1.11981931340262
"Traumatic acid","Com_192_neg","Traumatic acid","C12 H20 O4",228.13615,6.505,227.12887,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",140365320.2,150627608.2,156948643.1,148864835.9,127745563.6,157068518.5,102070378.2,95410939.8600001,118516070,26.8730153893847,27.1522465305791,-0.279231141194405,0.0668827021650227,0.204797982578093,"stable",1.11945384865977
