"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"Asparagine","Com_171_neg","Asparagine","C4 H8 N2 O3",132.05346,1.325,131.04618,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Asparagine and derivatives",84081972.71,76070349.8700001,54199774.37,140504993.8,63769565.93,45496810.43,26.1438909880277,26.065969198891,0.0779217891367736,0.835997746841098,0.579835341527196,"stable",0.160702829560856
"N-Acetyl-DL-glutamic acid","Com_76_neg","N-Acetyl-DL-glutamic acid","C7 H11 N O5",189.06364,2.288,188.05636,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",682513103.800001,683595403.799999,511868144.400001,617782590.6,859511729.999999,455774760.7,29.2150706189522,29.2086819812733,0.00638863767893838,0.972148939083367,0.61608898024477,"stable",0.0229627054748931
"L-Glutathione oxidized","Com_8_neg","L-Glutathione oxidized","C20 H32 N6 O12 S2",612.15211,2.277,611.14484,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",8434778250.00001,9593059665.99998,4350007716,5625433189,10263466085,3688659510,32.4755218346551,32.7171392309078,-0.241617396252735,0.344510279868959,0.468322480706994,"stable",0.456097252692133
"D-(-)-Glutamine","Com_402_neg","D-(-)-Glutamine","C5 H10 N2 O3",146.06916,1.333,145.06189,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","D-alpha-amino acids",55040799.74,37855567.08,43437545.96,18598773.66,47381526.13,78782331.18,25.2926314218235,25.4201465014639,-0.127515079640421,0.878285623093871,0.591807714640612,"stable",0.216064522575738
"Indole-3-lactic acid","Com_624_neg","Indole-3-lactic acid","C11 H11 N O3",205.07396,5.673,204.06668,"Full match","Full match","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",28869756.97,30777941.42,17496845.97,58628591.85,32418678,13359883.47,24.8089423611692,24.5730135256917,0.235928835477541,0.627221203742429,0.514901987438087,"stable",0.371333823293305
"(R)-3-Hydroxy myristic acid","Com_1360_neg","(R)-3-Hydroxy myristic acid","C14 H28 O3",244.20367,8.445,243.1964,"Full match","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",11684986.72,11639734.18,12002031.34,10079974.89,13048589.99,7759897.392,23.2633284795293,23.4891609335617,-0.225832454032464,0.428509409907846,0.477574580492352,"stable",0.990863259446361
"N-Acetyl-L-glutamine","Com_2714_neg","N-Acetyl-L-glutamine","C7 H12 N2 O4",188.07954,1.746,187.07223,"Full match","Full match","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamine and derivatives",22423197.71,22150179.52,14640838.83,20103932.11,15457943.03,5915074.144,23.546261403004,24.2075995430427,-0.661338140038655,0.190792936901166,0.437642915145451,"stable",1.07215947756493
"UDP-N-acetylglucosamine","Com_44_neg","UDP-N-acetylglucosamine","C17 H27 N3 O17 P2",607.08231,1.762,606.07504,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars",7677584718.99999,7069374786,4975610817.00001,13186067863,5266889497.99999,3160772174,32.490076436753,32.5897224542654,-0.0996460175123701,0.843592572386372,0.582037026550452,"stable",0.168461408240511
"Cyclic ADP-ribose","Com_1741_neg","Cyclic ADP-ribose","C15 H21 N5 O13 P2",541.06154,2.528,540.05427,"Full match","Full match","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",243272202.2,251318806.5,141403141.4,320174776.4,207442458.5,113677907,27.5475990133536,27.6127261869576,-0.065127173604079,0.804463431886663,0.570440127427401,"stable",0.136752078069767
"N-Acetylneuraminic acid","Com_464_neg","N-Acetylneuraminic acid","C11 H19 N O9",309.10596,1.435,308.09868,"Full match","Full match","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","N-acylneuraminic acids",128773306.3,147969876.9,117987452.3,82589132.6599999,95565194.46,53732478.73,26.1629072062226,26.9650149301736,-0.802107723951028,0.040423481390003,0.330187536039659,"down",1.78643151461107
"Biotin","Com_1116_neg","Biotin","C10 H16 N2 O3 S",244.08816,5.429,243.08089,"Full match","Full match","Full match","Organoheterocyclic compounds","Biotin and derivatives","Not available","Biotin and derivatives",3483929.838,3417401.116,2685730.206,1548105.674,2616050.511,1224526.425,20.7016079885188,21.5978784194037,-0.896270430884943,0.072587663215045,0.364533600572124,"stable",1.69926036428457
"N-Acetyl-L-methionine","Com_391_neg","N-Acetyl-L-methionine","C7 H13 N O3 S",191.06173,5.316,190.05445,"Full match","Full match","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Methionine and derivatives",45160791.79,46041983.6699999,45904971.81,17481751.25,31334816.47,26001592.94,24.5309020870667,25.4457203935107,-0.914818306444012,0.0623168949510588,0.353550089406675,"stable",1.88563613186018
"Flavin adenine dinucleotide (FAD)","Com_505_neg","Flavin adenine dinucleotide (FAD)","C27 H33 N9 O15 P2",785.15894,5.202,784.15166,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",122966399,125841594.5,88822812.6999999,118371604.3,105230495.2,54782826.78,26.3916485943796,26.7283831477587,-0.33673455337912,0.217607225174079,0.44570644869068,"stable",0.865617359452794
"Thymidine","Com_740_neg","Thymidine","C10 H14 N2 O5",242.09038,4.869,241.08307,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine deoxyribonucleotides","Pyrimidine 2'-deoxyribonucleoside monophosphates",30761557.69,27199118.84,24466072.51,4937008.889,5509522.55700001,5924648.24399999,22.3756665851556,24.7053203310434,-2.32965374588788,0.00539477368419989,0.27838925679511,"down",2.13401888473042
"Uridine","Com_825_neg","Uridine","C9 H12 N2 O6",244.06935,2.238,243.06201,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",24077656.58,36921022.7,22615076.52,11761376.35,39489229.03,18882983.74,24.2976976128447,24.6966374569052,-0.398939844060418,0.354396116078002,0.469461926215531,"stable",0.725917670699552
"Adenosine 5'-monophosphate","Com_29_neg","Adenosine 5'-monophosphate","C10 H14 N5 O7 P",347.06309,1.578,346.05581,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",533821787.2,732100138.300001,865935032.1,76669676.17,4331082130.99999,1687189778,29.6187360829367,29.3763107505341,0.242425332402558,0.892796439625924,0.595760249571276,"stable",0.14663674201762
"Flavin mononucleotide (FMN)","Com_1879_neg","Flavin mononucleotide (FMN)","C17 H21 N4 O9 P",456.10508,5.281,455.09788,"Full match","Full match","Full match","Nucleosides, nucleotides, and analogues","Flavin nucleotides","Not available","Flavin nucleotides",11182545.92,13589366.02,8129908.71999999,10188580.44,9488271.323,5580724.799,22.9567282099543,23.3551759622604,-0.398447752306041,0.094785282358228,0.382657626891622,"stable",1.06403130406287
"Glycoursodeoxycholic acid","Com_996_neg","Glycoursodeoxycholic acid","C26 H43 N O5",449.31458,7.468,448.3073,"Full match","Full match","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",23666479.29,28258643.25,17828366.01,7076929.87,15577594.84,11329228.6,23.3604025510651,24.4454005931491,-1.08499804208396,0.0829526320109839,0.373727800679499,"stable",1.75278170142518
"LPE O-16:1","Com_23_neg","LPE O-16:1","C21 H44 N O6 P",437.29066,9.811,436.28339,"No results","Full match","No results",NA,NA,NA,NA,129534775.3,197518170,258690651.4,327682064.4,613307328.2,622834808.899999,28.8980102506394,27.4842756770935,1.4137345735459,0.0062561684572268,0.27838925679511,"up",1.84323004505551
"Vanillyl alcohol","Com_35_neg","Vanillyl alcohol","C8 H10 O3",154.06304,5.614,153.05582,"Full match","No results","No results","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols",5312815.832,4950143.92,5256190.401,9794129.80399999,6238084.889,2408921.897,22.3320379428522,22.30189013947,0.0301478033821816,0.964446226738313,0.614205721048157,"stable",0.0541391148582029
"Gluconic acid","Com_66_neg","Gluconic acid","C6 H12 O7",150.0528,1.355,195.051,"Invalid mass","Invalid mass","No match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives",2125214070,2028926197,1492887646,318290389,2004593176,1309488174,29.8109288565316,30.7928295705869,-0.981900714055293,0.380609642397158,0.472219498506673,"stable",1.10404031303448
"Neopterin","Com_70_neg","Neopterin","C9 H11 N5 O4",253.08072,6.323,252.07345,"Full match","No results","Full match","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Biopterins and derivatives",29024906.97,16165452.41,130067827.1,46465434.2,30441563.02,357497957.1,26.2475178034538,25.2306291875996,1.01688861585413,0.0479283328401491,0.33254303476353,"up",0.724955136895007
"Methylmalonate","Com_95_neg","Methylmalonate","C4 H6 O4",118.02639,1.418,152.99578,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives",1326822446,1297442938,874823005.8,12287894.85,1124292098,622207299.2,27.6099747592717,30.0942560136257,-2.48428125435402,0.364942713045151,0.470615089567012,"stable",1.11044887761644
"Mestranol","Com_98_neg","Mestranol","C21 H26 O2",310.18142,8.554,309.17415,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrane steroids",67736438.33,38255290.34,199554433.3,62743062.79,37828258.11,78439433.7500001,25.7669964716357,26.2582639400583,-0.491267468422507,0.370519873028518,0.471200518813779,"stable",0.656057096981285
"LPC 16:0","Com_105_neg","LPC 16:0","C24 H50 N O7 P",541.33845,9.531,540.33117,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",52925228.79,80125233.6900001,107559049.3,92324623.66,136828470.5,145755651.5,26.8689939772192,26.197919752139,0.67107422508014,0.0289177118424263,0.324349718586638,"up",1.4601963937989
"Phenylacetaldehyde","Com_113_neg","Phenylacetaldehyde","C8 H8 O",120.05751,5.75,119.05022,"Full match","No results","No results","Benzenoids","Benzene and substituted derivatives","Phenylacetaldehydes","Phenylacetaldehydes",14929760.54,14865254.6,10925314.32,15416494.46,16618115.36,6876145.067,23.5257978021406,23.679433326003,-0.153635523862366,0.613581938754511,0.51078659788929,"stable",0.374025974671129
"PC 16:1_16:1","Com_169_neg","PC 16:1_16:1","C40 H76 N O8 P",775.5381,10.045,774.53082,"No results","Invalid mass","No results",NA,NA,NA,NA,532576493.4,365945319.2,294759308.4,494264922.7,510746624.4,104142984.1,28.1475774055235,28.5234761654083,-0.375898759884798,0.587881979642153,0.504172520437216,"stable",0.492550756418312
"Cytidine-5'-monophosphate","Com_187_neg","Cytidine-5'-monophosphate","C9 H14 N3 O8 P",323.05177,1.463,322.04449,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",138288512.8,122932075,101069236.1,92066312.4199999,213889655.5,102972422.5,26.9153814232531,26.8357203054679,0.0796611177851787,0.860879341319309,0.586963320402791,"stable",0.210792471641179
"Traumatic acid","Com_192_neg","Traumatic acid","C12 H20 O4",228.13615,6.505,227.12887,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",128664366.7,104537245.9,95094791.07,182721731.1,116987334,57006496.8900001,26.6704910319167,26.6937807047767,-0.0232896728599492,0.955653413425436,0.61203322886801,"stable",0.0493497611465373
"PC 14:0_16:0","Com_201_neg","PC 14:0_16:0","C38 H76 N O8 P",751.53773,11.145,750.53046,"No results","Invalid mass","No results",NA,NA,NA,NA,237133775.7,195210385.1,108010967.1,201690042,232403378.1,72468728.46,27.1634918861256,27.3493943515154,-0.185902465389805,0.519649000549828,0.493054135706272,"stable",0.313203258865154
"Guggulsterone","Com_209_neg","Guggulsterone","C21 H28 O2",312.20885,8.425,311.20157,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",15463837.53,16452706.79,14019433.28,17193439.18,14594022.84,51089698.42,24.4802527276511,23.8650471212728,0.615205606378282,0.433159705721229,0.478168328810259,"stable",1.01734546686356
"16-Hydroxyhexadecanoic acid","Com_223_neg","16-Hydroxyhexadecanoic acid","C16 H32 O3",272.23517,8.025,271.22789,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",156934731.8,154464898.2,129185467.3,191006127.1,170204385.8,98785025.8699999,27.1365085610725,27.1243872542114,0.0121213068611077,0.957991554515328,0.61261331167496,"stable",0.0423776792896737
"N-Isovalerylglycine","Com_230_neg","N-Isovalerylglycine","C7 H13 N O3",159.08957,5.641,158.08229,"Full match","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",181484401.8,155976034.8,117859731.7,209780592.9,162773406.6,68703080.5100001,26.9854890682524,27.1548383673926,-0.169349299140212,0.637221197734159,0.517847524461746,"stable",0.344591783317415
"gamma-Nonanolactone","Com_241_neg","gamma-Nonanolactone","C9 H16 O2",156.11499,6.159,155.10758,"No results","No results","Full match","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","Gamma butyrolactones",1169272.041,852432.867199999,877285.457100001,1395014.733,2755874.689,621893.404,20.3507451922715,19.8670309051171,0.483714287154395,0.529953177277736,0.494882388047856,"stable",0.761024241143345
"(2S)-4-Oxo-2-phenyl-3,4-dihydro-2H-chromen-7-yl beta-D-glucopyranoside","Com_252_neg","(2S)-4-Oxo-2-phenyl-3,4-dihydro-2H-chromen-7-yl beta-D-glucopyranoside","C21 H22 O8",448.14209,7.05,447.13481,"Invalid mass","No results","No results",NA,NA,NA,NA,199535312.5,135462857.3,316411011.7,2925204.537,2160546.023,7869397.418,21.8102974481239,27.6075385021196,-5.7972410539957,0.0016606501700105,0.27838925679511,"down",2.09141904908111
"Prostaglandin F3α","Com_255_neg","Prostaglandin F3α","C20 H32 O5",398.23376,8.892,397.22649,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",33065536.48,19342689.38,99654211.0700001,27984216.55,23885683.12,112330662.4,25.3303097904332,25.2515124902816,0.0787973001516526,0.678685639981785,0.529453889375125,"stable",0.084978521244312
"Citraconic acid","Com_286_neg","Citraconic acid","C5 H6 O4",130.02657,2.015,129.01931,"No results","Full match","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",129109475.6,124192704.1,81838690.37,181009354.3,108362018.7,69413909.4399999,26.7238314660178,26.7061015167409,0.0177299492769443,0.946764315257804,0.609811933702582,"stable",0.0421149826384622
"LysoPE 18:0","Com_297_neg","LysoPE 18:0","C23 H48 N O7 P",481.31698,9.53,480.30971,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",17169615.35,26090631.68,35036780.87,27578823.05,44000359.8699999,49162892.96,25.2197120061869,24.5775832712033,0.642128734983679,0.0149299937332324,0.306511872014228,"up",1.35762114994316
